Incident No.,Inclusion Criteria I,Inclusion Criteria II,Source Incident Detection/Disclosure,Source Incident Detection/Disclosure II,Start Date (Year),Start Date (Month),Start Date (Date),End Date (Year),End Date (Month),End Date (Date),Receiver Category I,Receiver Category II,Receiver Category III,Receiver Category IV,Receiver Category V,Receiver Category VI,Receiver Category VII,Receiver Category VIII,Receiver Category IX,Receiver Category X,Receiver Country I,Receiver Country II,Receiver Country III,Receiver Country IV,Receiver Country V,Receiver Country VI,Receiver Country VII,Receiver Country VIII,Receiver Country IX,Receiver Country X,Receiver Regime Type I,Receiver Regime Type II,Receiver Regime Type III,Initiator Category,Name Initiator,Name Initiator II,Initiator Country I,Initiator Country II,Initiator Country III,Initiator Country IV,Initiator Country V,Initiator Regime Type I,Initiator Regime Type II,Attribution Year,Political/Legal Response Year,Attribution Basis I,Attribution Type I,Attribution Basis II,Attribution Type II,Attribution Basis III,Attribution Type III,Attribution Basis IV,Attribution Type IV,Attribution IT-Security Community (category) I,Attribution IT-Security Community (category) II,Attribution IT-Security Community (country) I,Attribution IT-Security Community (country) II,Country of Origin: IT Attribution I,Country of Origin: IT Attribution II,Temporal Attribution Sequence,Cyber-Conflict Issue I,Cyber-Conflict Issue II,Cyber-Conflict Issue III,Cyber-Conflict Issue IV,Offline-Conflict (Intensity) - HIIK,Offline-Conflict (Issue) - HIIK I,Offline-Conflict (Issue) - HIIK II,Offline-Conflict (Issue) - HIIK III,Offline-Conflict (Issue) - HIIK IV,Zero Day(s),Incident Type I,Incident Type II,Incident Type III,Data Theft,Disruption,Hijacking (accessing and controlling a system),Physical Effects (spatial),Physical Effects (temporal),Unweigthed Cyber Intensity,Target/effect multiplier,Weighted Cyber Intensity,Casualties,Sources,Sources Attribution,Sources Politicization,Incident Name,Description
405,2,3,3,na,2012,11,12,2012,11,20,1.1,1.7,5,6,na,na,na,na,na,na,ISR,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,0,0,na,na,na,1,1.1,2,na,1,2,0,0,0,3,1,3,0,https://edition.cnn.com/2012/11/19/tech/web/cyber-attack-israel-anonymous/index.html; https://www.huffingtonpost.com/2012/11/17/anonymous-hacks-israel-all-your-base_n_2150881.html;  https://www.hackread.com/anonymous-destroys-israel-by-hacking-websites-destroying-databases-leaking-emails-passwords-for-opisrael/,na,https://edition.cnn.com/2012/11/19/tech/web/cyber-attack-israel-anonymous/index.html,Anonymous Cyberwar vs. Israel,Anonymous declares 'cyberwar' on Israel
406,1,4,4,na,2012,11,29,2012,11,29,3.6,na,na,na,na,na,na,na,na,na,SYR,na,na,na,na,na,na,na,na,na,3,na,na,1,NSA/Equation Group,na,USA,na,na,na,na,1,na,2013,na,0,3,5,5,na,na,na,na,na,na,na,na,na,na,na,1,7,na,na,2,1,7,na,na,1,2,na,na,0,2,0,0,0,2,1,2,0,https://www.theguardian.com/world/2014/aug/13/snowden-nsa-syria-internet-outage-civil-war#maincontent,na,na,Accidental Syrian Internet Blackout,The NSA accidentally took down the syrian internet in an attempt to infiltrate the syrian telecommunication provider.
407,2,na,3,na,2012,12,na,2012,12,na,1.1,na,na,na,na,na,na,na,na,na,CHN,BGD,na,na,na,na,na,na,na,na,2,3,na,3.3,Bangladesh Cyber Army,na,PAK,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.theregister.co.uk/2012/12/10/pakistan_cyber_army_hack_bangladesh_china/,na,na,Pakistan CyberArmy vs. Bangladesh,"Pakistan CyberArmy declares war on Chinese, Bangladeshi sites"
408,2,na,3,na,2012,12,na,2012,12,na,5,7,na,na,na,na,na,na,na,na,ZAF,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Moroccan Ghosts,na,MAR,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,7,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/100-south-african-websites-hacked-by-moroccan-ghosts/,na,na,MoroccanGhosts attack South Africa,100 South African Websites hacked by MoroccanGhosts
409,4,na,3,na,2012,12,na,2012,12,na,1.1,na,na,na,na,na,na,na,na,na,LKA,na,na,na,na,na,na,na,na,na,2,na,na,3.3,Bangladesh Grey Hat Hackers,na,BGD,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/22-srilankan-ministry-websites-hacked-by-bangladesh-gray-hat-hackers/,na,na,BGHH vs. Sri Lanka,22 Sri Lankan Ministry Websites Hacked by Bangladesh Gray Hat Hackers
410,2,na,3,na,2012,12,1,2012,12,10,1.4,1.5,1.1,7,na,na,na,na,na,na,PAK,na,na,na,na,na,na,na,na,na,2,na,na,3.3,Bangladesh Grey Hat Hackers,na,BGD,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,10,na,na,na,0,0,na,na,na,1,1.1,2,na,1,1,0,0,0,2,1,2,0,https://news.softpedia.com/news/Bangladeshi-Hackers-Fight-Back-Hack-Pakistani-Government-Sites-313309.shtml,na,na,BGHH vs. Pakistan,"Bangladeshi Hackers Fight Back, Hack Pakistani Government Sites"
411,4,na,3,na,2012,12,9,2012,12,9,1.1,na,na,na,na,na,na,na,na,na,ZAF,na,na,na,na,na,na,na,na,na,1,na,na,3.3,H4ksniper,na,MAR,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,5,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://mg.co.za/article/2012-12-09-three-government-websites-hacked,na,na,H4ksniper vs. SouthAfrica,Three SA government websites hacked
412,2,na,3,na,2012,12,13,2012,12,13,7,na,na,na,na,na,na,na,na,na,IND,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Anonymous,na,IND,na,na,na,na,1,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,11,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/op_india-bsnl-server-hacked-database-leaked-by-anonymous-india/,na,na,OP India,"#Op India: BSNL Server Hacked, Database Leaked by Anonymous India"
413,4,na,3,na,2012,12,25,2012,12,25,2,na,na,na,na,na,na,na,na,na,IDN,na,na,na,na,na,na,na,na,na,1,na,na,3.3,Brazil Hack Team,na,BRA,na,na,na,na,1,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://www.hackread.com/interpol-indonesia-hacked-and-defaced-by-hightech-brazil-hackteam/,na,na,Brazil HackTeam vs. Interpol,Interpol Indonesia Hacked and Defaced by HighTech Brazil HackTeam
414,1,10,0,na,2012,na,na,2015,5,na,4.7,5,7,na,na,na,na,na,na,na,GTM,na,na,na,na,na,na,na,na,na,2,na,na,1,General Directoral of Civil Intelligence (DIGICI),na,GTM,na,na,na,na,2,na,2018,na,0,2,5,5,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,3,1,na,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://translate.google.com/translate?sl=auto&tl=de&u=https%3A%2F%2Fnomada.gt%2Fpais%2Fla-corrupcion-no-es-normal%2Fespionaje-ilegal-del-gobierno-aqui-esta-la-investigacion-de-nuestro-diario-parte-i%2F;  https://citizenlab.ca/2020/12/running-in-circles-uncovering-the-clients-of-cyberespionage-firm-circles/,https://translate.google.com/translate?sl=auto&tl=de&u=https%3A%2F%2Fnomada.gt%2Fpais%2Fla-corrupcion-no-es-normal%2Fespionaje-ilegal-del-gobierno-aqui-esta-la-investigacion-de-nuestro-diario-parte-i%2F,na,Guatemala state surveillance,"The Guatemalan government purchased surveillance tools (Pegasus, Circles) in order to monitor political opponents, activists and journalists."
415,1,na,4,na,2012,7,na,2012,7,na,4.6,na,na,na,na,na,na,na,na,na,MAR,na,na,na,na,na,na,na,na,na,2,na,na,1,0,na,MAR,na,na,na,na,2,na,2016,na,1,3,5,5,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,3,1,2,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.amnesty.org/en/latest/research/2016/12/how-a-hacking-campaign-helped-shut-down-an-award-winning-news-site/;  https://citizenlab.ca/2020/12/running-in-circles-uncovering-the-clients-of-cyberespionage-firm-circles/,https://www.amnesty.org/en/latest/research/2016/12/how-a-hacking-campaign-helped-shut-down-an-award-winning-news-site/,na,Moroccan government vs. Human rights organization,"The Moroccan human rights activist Hisham Almiraat accuses the moroccan government of compromising his organization ""Mamfakinch"" after it won the Google-Global Voices Breaking Border award for promoting dialogue and democratic values."
416,2.1,4,2,na,2012,na,na,2017,na,na,1.1,1.5,3.3,3.4,3.6,3.8,3.9,4.6,4.7,7,KOR,JPN,VNM,MEA,na,na,na,na,na,na,1,2,3,2,APT37/Reaper/Scar Cruft,na,PRK,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,2,na,PRK,na,USA,na,na,1,7,na,na,2,1,4,7,na,2.2,1,3,na,2,0,2,0,0,4,1,4,0,https://www2.fireeye.com/rs/848-DID-242/images/rpt_APT37.pdf,https://www2.fireeye.com/rs/848-DID-242/images/rpt_APT37.pdf,na,North Korea espionage campaign,"North Korean state-sponsored hacking group APT37 conducted a perennial espionage campaign on South Korea, Japan, Vietnam and the Middle East."
417,10,na,2,na,2013,na,na,2014,na,na,1.1,5,na,na,na,na,na,na,na,na,TWN,CHN,na,na,na,na,na,na,na,na,3,na,na,0,Shiqiang Group,na,0,na,na,na,na,0,na,na,na,2,5,na,na,na,na,na,na,0,na,CHN,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.fireeye.com/blog/threat-research/2013/04/new-targeted-attack-on-taiwanese-government-tibetan-activists-open-up-a-can-of-worms-graypigeon-hangame-shiqiang-gang.html; https://www.nytimes.com/2014/05/23/world/asia/us-case-offers-glimpse-into-chinas-hacker-army.html,https://www.fireeye.com/blog/threat-research/2013/04/new-targeted-attack-on-taiwanese-government-tibetan-activists-open-up-a-can-of-worms-graypigeon-hangame-shiqiang-gang.html; https://www.nytimes.com/2014/05/23/world/asia/us-case-offers-glimpse-into-chinas-hacker-army.html,na,ShiqiangGroup vs. Taiwan,"Targeted Attack On Taiwanese Government & Tibetan Activists Open, allegedly by the Chinese Shiqianggang."
418,10,na,2,na,2013,na,na,2017,na,na,1.1,1.5,3.9,5,8,na,na,na,na,na,ISR,USA,TUR,SAU,DEU,JOR,na,na,na,na,1,2,3,0,Copy Kittens/Slayer Kitten,na,IRN,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,IRN,na,ISR,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.ibtimes.co.uk/copykittens-iran-linked-cyber-espionage-group-lacks-sophistication-still-successful-1632024,https://www.clearskysec.com/wp-content/uploads/2017/07/Operation_Wilted_Tulip.pdf,na,Operation WiltedTulip,Espionage Campaign by the allegedly Iranian APT Copykittens
419,2.1,na,2,na,2013,na,na,2018,na,na,3.6,na,na,na,na,na,na,na,na,na,SOUTHEASTASIA,USA,na,na,na,na,na,na,na,na,0,na,na,2,Thrip,na,CHN,na,na,na,na,3,na,2018,na,2,5,na,na,na,na,na,na,0,na,CHN,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,3,na,na,0,0,1,0,0,1,1,1,0,https://www.reuters.com/article/us-china-usa-cyber/china-based-campaign-breached-satellite-defense-companies-symantec-idUSKBN1JF2X0,https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/thrip-hits-satellite-telecoms-defense-targets,na,ThripGroup,"A sophisticated hacking campaign launched from computers in China burrowed deeply into satellite operators, defense contractors and telecommunications companies in the United States and southeast Asia, security researchers at Symantec Corp said."
420,2.1,10,2,na,2013,na,na,2015,na,na,3.6,3.9,5,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2.1,Emissary Panda/APT 27/Lucky Mouse,na,CHN,na,na,na,na,3,na,2015,na,2,3,na,na,na,na,na,na,2.1,na,CHN,na,JPN,na,na,1,7,na,na,2,1,7,na,na,1,1,3,na,2,0,2,0,0,4,1,4,0,https://www.erai.com/CustomUploads/ca/wp/2015_12_wp_operation_iron_tiger.pdf,https://newsroom.trendmicro.com/blog/operation-iron-tiger-attackers-shift-east-asia-united-states; https://www.cbc.ca/news/canada/montreal/emissary-panda-chinese-hackers-cyberattack-icao-1.5034177,na,Operation Iron Tiger Part2/Emissary Panda,"In 2013, Iron Tiger’s targets individuals in US defense-and technology-related fields like a erospace, energy, etc. It’s important to note that research has not shown an explicit, state-sponsored connection but the case shows that attackers don’t need to be connected to a state to engage in politically motivated activities."
421,2.1,10,2,na,2013,na,na,2014,na,na,3.9,6,na,na,na,na,na,na,na,na,USA,IRN,na,na,na,na,na,na,na,na,1,na,na,2,Ajax Security Team/Flying Kittens,Rocket Kitten,IRN,na,na,na,na,3,na,2013,na,2,5,na,na,na,na,na,na,2,na,IRN,na,USA,na,na,1,2,7,na,2,7,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-operation-saffron-rose.pdf,https://www.thaicert.or.th/downloads/files/A_Threat_Actor_Encyclopedia.pdf,na, Ajax Security Team aka Rocket Kitten 2013-2014,With the aim of cyber-espionage the at least state-encouraged Iranian hacking group  Ajax Security Team have attacked companies in the U.S. and domestic users of anti-censorship technology.
422,2.1,10,2,na,2013,na,na,2014,na,na,1.5,6,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2.1,APT 17/Deputy Dog,na,CHN,na,na,na,na,3,na,2014,na,2,5,5,5,na,na,na,na,2.1,na,CHN,na,USA,na,na,1,na,na,na,2,1,7,na,na,2.1,3,na,na,0,0,1,0,0,1,1,1,0,https://www.fireeye.com/blog/threat-research/2014/02/operation-snowman-deputydog-actor-compromises-us-veterans-of-foreign-wars-website.html,https://intrusiontruth.wordpress.com/2019/07/24/APT 17-is-run-by-the-jinan-bureau-of-the-chinese-ministry-of-state-security/; https://www.proofpoint.com/us/threat-insight/post/operation-rat-cook-chinese-APT -actors-use-fake-game-thrones-leaks-lures,na,Operation SnowMan-->DeputyDog aka APT 17,"Hackers from APT 17, an alleged Chinese state-proxy, according to Proofpoint and Intrusion Truth years later, are using a zero day vulnerability in Microsoft's Internet Explorer webbrowser and targeting US military personnels in an active attack campaign via the US Veterans of Foreign Wars website. "
423,10,na,2,na,2013,na,na,2013,na,na,1.1,1.1,5,8,na,na,na,na,na,na,KOR,CHN,na,na,na,na,na,na,na,na,1,3,na,0,Kimsuky/Velvet Chollima,na,PRK,na,na,na,na,3,na,na,na,2,5,na,na,na,na,na,na,0,na,PRK,na,RUS,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,http://www.keia.org/sites/default/files/publications/kei_aps_mansourov_final.pdf,https://securelist.com/the-kimsuky-operation-a-north-korean-apt/57915/,na,Operation“Kimsuky”,"The Kimsuky cyberespionage campaign appears to be originated in NorthKorea and hit numerous organizations, eleven of which located in the South Korea and two in China. The attackers infected victims with a malware able to remote controls the PC, loggingkey strokes, stealing HWP documents."
424,2.1,10,2,na,2013,na,na,2019,na,na,1,5,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,0,na,na,2,APT 41,na,CHN,na,na,na,na,3,na,2019,na,2,5,na,na,na,na,na,na,2,na,CHN,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://content.fireeye.com/APT -41/website-APT 41-blog,https://content.fireeye.com/APT -41/website-APT 41-blog,na,APT  41,"FireEye Intelligence released a comprehensive report detailing APT 41, a prolific Chinese cyber threat group that carries out state-sponsored espionage activity in parallel with financially motivated operations."
425,4,10,2,na,2013,na,na,2019,na,na,1.1,3.6,5,na,na,na,na,na,na,na,RUS,UKR,SVK,na,na,na,na,na,na,na,1,2,3,0,0,na,0,na,na,na,na,0,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://www.welivesecurity.com/2019/10/10/eset-discovers-attor-spy-platform/,na,na,Attor Spyplatform,"Unknown actors developed an spyplatform that managed to misuse various sites in the Russian language space, to force an targeted espionage campaign"
426,2.1,3,1,na,2013,na,na,2016,3,na,1.1,na,na,na,na,na,na,na,na,na,FIN,na,na,na,na,na,na,na,na,na,1,na,na,2,Turla/Waterbug/Venomous Bear/Snake/Uroburos,na,RUS,na,na,na,na,3,na,2016,na,2,3,6,6,na,na,na,na,2,na,RUS,na,RUS,na,0,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.scmagazine.com/finlands-foreign-ministry-hacked-by-russian-or-chinese-spies/article/528907/,https://yle.fi/uutiset/osasto/news/russian_group_behind_2013_foreign_ministry_hack/8591548,na,Finnish MFA Hacked by Turla,Finnish Foreign Ministry hacked by Turla
427,2,4,3,na,2013,na,na,2013,1,19,1.6,1.7,na,na,na,na,na,na,na,na,AZE,na,na,na,na,na,na,na,na,na,3,na,na,3.3,Anonymous,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://www.databreaches.net/1-7gb-documents-leaked-from-special-state-protection-service-of-azerbaijan/,na,na,Anonymous vs. Azerbaijani Government,Anonymous leaked internal data of the Special State Protection Service of Azerbaijan
428,2,10,2,na,2013,na,na,2014,na,na,1,5,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,0,na,na,0,0,na,0,na,na,na,na,1,na,na,na,2,5,na,na,na,na,na,na,0,na,0,na,DEU,na,na,0,na,na,na,0,0,na,na,na,1,1,3,na,1,0,2,0,0,3,1,3,0,https://public.gdatasoftware.com/Presse/Publikationen/Whitepaper/EN/GDATA_TooHash_CaseStudy_102014_EN_v1.pdf,na,na,Operation Toohash,"Targeted attack campaign against various governments and companies in the Great Chinese Area, reported by German IT Company G data."
429,3,na,3,na,2013,na,na,2013,na,na,1.2,6,na,na,na,na,na,na,na,na,USA,ROU,na,na,na,na,na,na,na,na,1,na,na,4,Guccifer,na,ROU,na,na,na,na,1,na,na,2014,3,1,6,7,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1.1,na,na,2,0,0,0,0,2,1,2,0,https://www.nbcnews.com/news/world/guccifer-hacker-who-leaked-bush-paintings-sentenced-jail-n124556,na,na,Guccifer Affair Leak,The Romanian Hacker Guccifer leaked Emails between Colin Powell and MEP Corina Cretu
430,2.1,10,5,na,2013,na,na,2017,12,na,1.11,5,8,na,na,na,na,na,na,na,USA,DEU,AUS,CAN,CHN,DNM,ISR,ITA,JPN,GBR,1,na,na,2,Mabna Institute/Silent Librarian,IRGC,IRN,na,na,na,na,3,na,2018,2018,2,5,6,7,na,na,na,na,2,na,IRN,na,USA,na,1,7,na,na,na,2,7,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.heise.de/newsticker/meldung/US-Justizministerium-beschuldigt-Iraner-massiver-Hackerangriffe-4003100.html,https://www.justice.gov/opa/pr/nine-iranians-charged-conducting-massive-cyber-theft-campaign-behalf-islamic-revolutionary; https://www.secureworks.com/blog/back-to-school-cobalt-dickens-targets-universities,na,Cobalt Dickens (Mabna Institute),"US Department of Justice accuses Iranian hackers going by the handle ""Cobalt Dickens""(Secure works) of stealing data from universities in the US, Germany and 20 other countries."
431,1,3,0,na,2013,na,na,2015,3,na,1.3,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2,Turbine Panda/APT 26,MSS/JSSD,CHN,na,na,na,na,3,na,2015,2017,2,3,4,na,6,7,na,na,2.1,na,CHN,na,USA,na,1,7,na,na,na,2,1,7,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,"https://abcnews.go.com/US/exclusive-25-million-affected-opm-hack-sources/story?id=32332731#:~:text=The%20attack%20on%20OPM%20began%20in%20late%202013%2C,to%20two%20days%20of%20testimony%20on%20Capitol%20Hill.",https://freebeacon.com/national-security/fbi-alert-reveals-groups-behind-opm-hack/;  https://www.zdnet.com/article/building-chinas-comac-c919-airplane-involved-a-lot-of-hacking-report-says/; https://www.vox.com/2015/6/19/11563730/fireeye-identifies-chinese-group-behind-federal-hack;  https://australiancybersecuritymagazine.com.au/new-intelligence-report-from-crowdstrike-turbine-panda/;  https://securityaffairs.co/wordpress/92649/APT /turbine-panda-aerospace-espionage.html; https://edition.cnn.com/2017/08/24/politics/fbi-arrests-chinese-national-in-opm-data-breach/index.html,https://www.theguardian.com/technology/2015/jun/04/us-government-massive-data-breach-employee-records-security-clearances,OPM Hack,"US Office of Personal Management is hacked twice by Chinese hackers. Personal information of about 21 million US government employees and former applicants is compromised, including fingerprints. The APT  Group DeepPanda has been blamed for it, Fire Eye however, claimed that DeepPanda was not responsible for the OPM Hack, but another Chinese group, later be named as Turbine Panda. Hackers involved have been arrested by the FBI in 2017."
432,2.1,10,2,na,2013,na,na,2017,na,na,1.1,4.7,7,na,na,na,na,na,na,na,VNM,SEA,CHN,na,na,na,na,na,na,na,1,3,na,2,APT32/Ocean Lotus/Sea Lotus,na,VNM,na,na,na,na,3,na,2014,na,2,5,5,5,na,na,na,na,2,na,VNM,na,USA,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html,https://www.fireeye.com/blog/threat-research/2017/05/cyber-espionage-apt32.html; https://www.eff.org/deeplinks/2014/01/vietnamese-malware-gets-personal,na,APT32/Ocean Lotus Group,"Espionage-Hacks against Vietnamese Dissidents and Journalists, as well as foreign governments."
433,2.1,4,1,na,2013,1,na,2013,4,na,1.5,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2,0,na,CHN,na,na,na,na,3,na,2013,na,6,4,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,2,0,0,0,0,2,1,2,0,https://www.washingtontimes.com/news/2013/may/1/sensitive-army-database-us-dams-compromised-chines/; https://securityaffairs.co/wordpress/14089/security/us-army-corps-engineers-national-inventory-of-dams-nid-hacked.html,na,na,National Inventory of Dams Hack,"U.S. intelligence agencies traced a recent cyber intrusion into a sensitive infrastructure database on vulnerabilities of US Dams to the Chinese government or military cyberwarriors, according to U.S.officials."
434,1,4,1,na,2013,1,na,2013,2,na,1.1,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,1,0,na,CHN,na,na,na,na,3,na,2013,na,0,2,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://www.businessinsider.com/doe-attack-by-chinese-hackers-2013-2?IR=T,na,na,DOE breach,"US Energy Department was breached, no sensitive data stolen."
435,2.1,na,2,na,2013,na,na,2015,9,na,3.9,na,na,na,na,na,na,na,na,na,USA,na,na,na,na,na,na,na,na,na,1,na,na,2.1,Emissary Panda/APT 27/Lucky Mouse,na,CHN,na,na,na,na,3,na,2015,na,2,5,na,na,na,na,na,na,2.1,na,CHN,na,JPN,na,na,1,7,na,na,1,1,7,na,na,2,1,3,na,2,0,2,0,0,4,1,4,0,https://www.forbes.com/sites/lisabrownlee/2015/09/17/chinese-cyber-attacks-on-us-military-interests-confirmed-as-advanced-persistent-and-ongoing/#28d21d12694f ,https://threatpost.com/APT -group-gets-selective-about-data-it-steals/114103/,na,Iron Tiger Attack(related to OPMhack),Chinese HackerGroup IronTiger leakes sensitive data from several defence contractors 
436,2,na,3,na,2013,1,7,2013,1,8,5,na,na,na,na,na,na,na,na,na,IND,na,na,na,na,na,na,na,na,na,1,na,na,3.1,Bangladesh Cyber Army,na,BGD,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,5,4,na,na,3,5,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,http://news.softpedia.com/news/Bangladesh-Cyber-Army-Attacks-Indian-Sites-in-Memory-of-15-Year-Old-Girl-Video-319234.shtml,na,na,Bangladesh Cyber Army vs. India,"The Bangladesh Cyber Army claims to have defaced over 1,000 Indian websites, including India's biggest telecommunications providers BSNL, as a form of protest against the country’s Border Security Force (BSF). "
437,2,na,3,na,2013,1,10,2013,1,10,8,na,na,na,na,na,na,na,na,na,TUR,na,na,na,na,na,na,na,na,na,2,na,na,3.3,RedHack,na,TUR,na,na,na,na,2,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,1,na,na,na,3,1,na,na,na,1,1.1,na,na,2,0,0,0,0,2,1,2,0,https://news.softpedia.com/news/Turkey-s-Council-of-Higher-Education-Hacked-by-RedHack-60-000-Documents-Leaked-319958.shtml,na,na,RedHack vs. Turkish Council of Higher Education,Turkish hackergroup RedHack gains access to a database of Turkey's Council of Higher Education. They publish data which they claim proves corruption incidents at several Turkish universities.
438,4,na,3,na,2013,1,15,2013,1,15,1.5,na,na,na,na,na,na,na,na,na,CHL,na,na,na,na,na,na,na,na,na,1,na,na,3.3,LulzSec Peru,na,PER,na,na,na,na,1,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,2,na,na,0,1,0,0,0,1,1,1,0,https://news.softpedia.com/news/Army-of-Chile-Website-Hacked-by-LulzSec-Peru-321097.shtml,na,na,LulzSec Peru vs. Chilean Army,Hackergroup LulzSec Peru hacks the website of the Chilean army.
439,4,na,3,na,2013,1,26,2013,1,26,1.1,na,na,na,na,na,na,na,na,na,LKA,na,na,na,na,na,na,na,na,na,2,na,na,4,Davy Jones,na,0,na,na,na,na,0,na,na,na,3,1,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1.1,na,na,1,0,0,0,0,1,1,1,0,https://www.hackread.com/sri-lankas-minister-of-sports-website-hacked-data-leaked-by-davy-jones/,na,na,DavyJones vs. Government of SriLanka,"Website of Sri Lankan Minister of Sports hacked,website data published."
440,4,na,1,na,2013,1,28,2013,1,28,1.1,na,na,na,na,na,na,na,na,na,JPN,na,na,na,na,na,na,na,na,na,1,na,na,0,0,na,0,na,na,na,na,0,na,na,na,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,0,na,na,na,1,1,na,na,1,0,0,0,0,1,1,1,0,https://news.softpedia.com/news/20-Documents-Stolen-by-Hackers-from-Japan-s-Ministry-of-Foreign-Affairs-327205.shtml,na,na,Japan MFA leak,Unidentified hackers steal non-confidential data from Japan's Ministry of Foreign Affairs.
